Task Name,Group Name,Start Date,End Date,Assigned To
Estado da arte,Planeamento,2025-09-15,2025-09-19,João
Projetar mapa de navegação,Planeamento,2025-09-15,2025-09-26,Marcos
Pesquisa e escolha de ferramentas,Planeamento,2025-09-22,2025-09-26,João
Modelar base de dados,Base de dados,2025-09-29,2025-10-03,João
Pesquisa e escolha da BaaS para utilizar,Base de dados,2025-09-29,2025-10-03,Marcos
Desenvolver a base de dados,Base de dados,2025-10-06,2025-10-17,João
Configurar base de dados e autenticação de perfis,Base de dados,2025-10-06,2025-10-17,Marcos
Implementar as permissões principais de utilizadores para a base de dados,Base de dados,2025-10-20,2025-10-31,João
Desenvolver layout/estrutura das fichas,Fichas de personagem,2025-10-20,2025-10-31,Marcos
Desenvolver lógica de cálculo de atributos,Fichas de personagem,2025-11-03,2025-11-14,João
"Desenvolver lógica de habilidades, magias, passivas",Fichas de personagem,2025-11-03,2025-11-14,Marcos
Criar sistema de inventário e itens,Fichas de personagem,2025-11-17,2025-11-28,João
Desenvolver mudanças da ficha em tempo real,Fichas de personagem,2025-11-17,2025-11-28,Marcos
Desenvolver layout/estrutura de campanhas,Campanhas,2025-12-01,2025-12-12,João
Criar sistema de códigos de convite,Campanhas,2025-12-01,2025-12-12,Marcos
Implementar ligação com fichas,Campanhas,2025-12-15,2025-12-19,João
"Implementar histórico de rolagens (dados), observações, calendário",Campanhas,2025-12-15,2025-12-19,Marcos
Construir painel visual de turnos,Campanhas,2026-01-05,2026-01-23,João
Desenvolver lógica de turnos em tempo real ligado com as fichas,Campanhas,2026-01-05,2026-01-23,Marcos
Desenvolver layout/estrutura da comunidade,Comunidade,2026-01-26,2026-02-06,João
Desenvolver sistema de posts e feed,Comunidade,2026-01-26,2026-02-06,Marcos
Implementar comentários e interação,Comunidade,2026-02-09,2026-02-20,João
"Criar sistema de votação (upvote, downvote)",Comunidade,2026-02-09,2026-02-13,Marcos
"Aplicar feedback visual, filtros e ordenação de conteúdos",Comunidade,2026-02-16,2026-02-20,Marcos
Criar aba de navegação "sistema" para regras do jogo,Sistema e Administração,2026-02-23,2026-03-06,João
Desenvolver sistema de capítulos e regras,Sistema e Administração,2026-02-23,2026-03-06,Marcos
Implementar painel administrativo,Sistema e Administração,2026-03-09,2026-03-20,João
"Criar um painel de controle membros, capítulos e regras (disponível somente para admins)",Sistema e Administração,2026-03-09,2026-03-20,Marcos
Desenvolver gestão de utilizadores e permissões,Sistema e Administração,2026-03-23,2026-04-03,João
Verificar "saúde" da base de dados e correção de bugs,Ajustes,2026-03-23,2026-04-03,Marcos
Verificar e corrigir eventuais quebras de layout e alinhar elementos visuais,Ajustes,2026-04-06,2026-04-17,João
Otimizar performance do site e rever segurança,Ajustes,2026-04-06,2026-04-17,Marcos
Testar responsividade e corrigir bugs,Ajustes,2026-04-20,2026-05-01,João
Executar testes finais do sistema,Entrega,2026-04-20,2026-05-01,Marcos
Preparar documentação do projeto,Entrega,2026-05-04,2026-05-22,João
Finalizar versão para apresentação,Entrega,2026-05-04,2026-05-22,Marcos
